case_a,case_b,overlap_bars
CASE-006,CASE-024,0
CASE-006,CASE-025,0
CASE-006,CASE-026,0
CASE-006,CASE-027,0
CASE-006,CASE-028,0
CASE-006,CASE-029,0
CASE-006,CASE-030,0
CASE-006,CASE-031,0
CASE-006,CASE-032,0
CASE-006,CASE-033,0
CASE-006,CASE-034,0
CASE-006,CASE-035,0
CASE-006,CASE-036,0
CASE-006,CASE-037,0
CASE-006,CASE-038,0
CASE-006,CASE-039,0
CASE-006,CASE-040,0
CASE-006,CASE-041,0
CASE-006,CASE-042,0
CASE-006,CASE-043,0
CASE-006,CASE-044,0
CASE-006,CASE-045,0
CASE-007,CASE-008,0
CASE-007,CASE-009,0
CASE-007,CASE-010,0
CASE-007,CASE-011,0
CASE-007,CASE-012,0
CASE-007,CASE-013,0
CASE-007,CASE-014,0
CASE-007,CASE-015,0
CASE-007,CASE-016,0
CASE-007,CASE-017,0
CASE-007,CASE-018,0
CASE-007,CASE-019,0
CASE-007,CASE-020,0
CASE-007,CASE-021,0
CASE-007,CASE-022,0
CASE-007,CASE-023,0
CASE-007,CASE-024,0
CASE-007,CASE-025,0
CASE-007,CASE-026,0
CASE-007,CASE-027,0
CASE-007,CASE-028,0
CASE-007,CASE-029,0
CASE-007,CASE-030,0
CASE-007,CASE-031,0
CASE-007,CASE-032,0
CASE-007,CASE-033,0
CASE-007,CASE-034,0
CASE-007,CASE-035,0
CASE-007,CASE-036,0
CASE-007,CASE-037,0
CASE-007,CASE-038,0
CASE-007,CASE-039,0
CASE-007,CASE-040,0
CASE-007,CASE-041,0
CASE-007,CASE-042,0
CASE-007,CASE-043,0
CASE-007,CASE-044,0
CASE-007,CASE-045,0
CASE-008,CASE-009,0
CASE-008,CASE-010,0
CASE-008,CASE-011,0
CASE-008,CASE-012,0
CASE-008,CASE-013,0
CASE-008,CASE-014,0
CASE-008,CASE-015,0
CASE-008,CASE-016,0
CASE-008,CASE-017,0
CASE-008,CASE-018,0
CASE-008,CASE-019,0
CASE-008,CASE-020,0
CASE-008,CASE-021,0
CASE-008,CASE-022,0
